defName,中文名,英文标题,简称,阶段,来源,强制/倾向特质,禁用特质,技能加成,关联经历
ArchotechSpy75,archotech researcher,archotech researcher,researcher,成年,原版Core,,,Construction2、Intellectual5、Crafting2、Cooking-2,
ArmyCook0,army cook,army cook,cook,成年,原版Core,,,Construction2、Intellectual-2、Shooting2、Melee2、Cooking3、Crafting1,
ArmyScientist35,army scientist,army scientist,scientist,成年,原版Core,,,Intellectual8、Medicine2,
ArmySergeant16,army sergeant,army sergeant,sergeant,成年,原版Core,,,Construction2、Shooting8、Melee2,
Aromatherapist80,aromatherapist,aromatherapist,therapist,成年,原版Core,,,Plants6、Shooting-3、Melee-3、Cooking4、Medicine4,
ArtStudent79,art student,art student,artist,成年,原版Core,,,Construction-2、Plants-1、Cooking-1、Medicine1、Artistic8、Crafting2,
ArtifactHunter48,artifact hunter,artifact hunter,artifacter,成年,原版Core,,,Construction4、Shooting8,
ArtificerRampant95,artificer rampant,artificer rampant,artificer,成年,原版Core,,,Construction2、Intellectual6、Medicine2、Crafting8,
AsceticPriest84,ascetic priest,ascetic priest,priest,成年,原版Core,,,Plants4、Medicine2、Cooking2,
Assassin20,assassin,assassin,assassin,成年,原版Core,,,Melee10、Shooting10,
Assassin7,assassin,assassin,assassin,成年,原版Core,,,Shooting7、Melee4,
BanditLeader74,bandit leader,bandit leader,bandit,成年,原版Core,,,Shooting5、Melee5、Social2,
Banished68,banished,banished,banished,成年,原版Core,,,Melee3、Shooting2、Plants4,
BanishedSoldier85,banished soldier,banished soldier,outlaw,成年,原版Core,,,Melee7,
Bartender62,bartender,bartender,barkeep,成年,原版Core,,,Social4、Melee2、Cooking2,
BattleMechanic27,battle mechanic,battle mechanic,mechanic,成年,原版Core,,,Shooting5、Melee3、Crafting4,
BattlefieldTech52,battlefield tech,battlefield tech,technician,成年,原版Core,,,Construction4、Intellectual4、Shooting3、Cooking-3、Crafting4,
BeastSlayer67,beast slayer,beast slayer,slayer,成年,原版Core,,,Plants2、Shooting4、Melee4、Cooking3,
BehaviourResearch74,behaviour research,behaviour research,scientist,成年,原版Core,,,Plants-3、Intellectual8、Melee1、Social2、Cooking-2、Medicine6,
BiosphereManager95,biosphere manager,biosphere manager,botanist,成年,原版Core,,,Shooting-4、Animals6、Plants6,
Blacksmith7,blacksmith,blacksmith,blacksmith,成年,原版Core,,,Mining2、Melee2、Crafting8,
Blacksmith72,blacksmith,blacksmith,blacksmith,成年,原版Core,,,Shooting-5、Melee4、Crafting6,
BlacksmithShooter21,blacksmith shooter,blacksmith shooter,gunsmith,成年,原版Core,,,Construction3、Shooting5、Crafting3,
BloodgameSurvivor6,bloodgame survivor,bloodgame survivor,bloodgamer,成年,原版Core,,,Construction2、Melee7、Social6,
BloodyDentist9,bloody dentist,bloody dentist,dentist,成年,原版Core,,,Intellectual4、Medicine6、Artistic2,
BloodyWanderer28,bloody wanderer,bloody wanderer,wanderer,成年,原版Core,,,Construction2、Intellectual-2、Shooting3、Melee4、Crafting2,
Bodyguard58,bodyguard,bodyguard,bodyguard,成年,原版Core,,,Shooting4、Melee4,
BountyHunter17,bounty hunter,bounty hunter,hunter,成年,原版Core,,,Shooting6、Melee4、Medicine2,
BountyHunter41,bounty hunter,bounty hunter,hunter,成年,原版Core,,,Shooting8、Melee5,
BountyHunter93,bounty hunter,bounty hunter,hunter,成年,原版Core,,,Shooting5、Melee3、Social2、Crafting2,
Brave88,brave,brave,brave,成年,原版Core,,,Melee7、Shooting2,
Brigand68,brigand,brigand,brigand,成年,原版Core,,,Construction2、Shooting2、Melee3、Cooking2、Medicine1、Crafting1,
BushSniper94,bush sniper,bush sniper,sniper,成年,原版Core,,,Plants-3、Shooting6、Cooking2、Artistic-2、Animals4,
BusinessGangster58,business gangster,business gangster,gangster,成年,原版Core,,,Shooting3、Melee5、Social7、Artistic2,
Butcher40,butcher,butcher,butcher,成年,原版Core,,,Cooking6、Animals3,
Caravaneer53,caravaneer,caravaneer,caravaneer,成年,原版Core,,,Shooting4、Social7,
CargoPilot58,cargo pilot,cargo pilot,pilot,成年,原版Core,,,Construction2、Mining1、Shooting4、Melee2、Social1,
Carver1,carver,carver,carver,成年,原版Core,,,Artistic7,
CasketBuilder52,casket builder,casket builder,builder,成年,原版Core,,,Construction4、Intellectual4、Medicine3,
Castaway57,castaway,castaway,castaway,成年,原版Core,,,Melee5、Animals3、Construction4,
Castaway81,castaway,castaway,castaway,成年,原版Core,,,Construction2、Plants3、Mining2、Cooking2,
CaveBuilder81,cave builder,cave builder,cave builder,成年,原版Core,,,Mining8、Construction2,
CaveExplorer45,cave explorer,cave explorer,cave explorer,成年,原版Core,,,Mining8,
CaveworldIlluminator95,caveworld illuminator,caveworld illuminator,illuminator,成年,原版Core,,,Mining3、Social2,
CharityWorker36,charity worker,charity worker,altruist,成年,原版Core,,,Social6、Mining-3,
Chef52,chef,chef,chef,成年,原版Core,,,Cooking6、Social2,
Chemist73,chemist,chemist,chemist,成年,原版Core,,,Intellectual6、Social2、Medicine4,
Chemist78,chemist,chemist,chemist,成年,原版Core,,,Intellectual6、Social-3、Crafting6,
ChiefEngineer62,chief engineer,chief engineer,engineer,成年,原版Core,,,Construction3、Intellectual3、Mining2、Social-2、Crafting3,
CivilEngineer2,civil engineer,civil engineer,engineer,成年,原版Core,,,Construction7、Intellectual3、Mining2、Social-3,
CivilServant2,civil servant,civil servant,bureaucrat,成年,原版Core,,,Social3、Intellectual3、Construction-2,
CivilServant25,Civil servant,Civil servant,Bureaucrat,成年,原版Core,,,Intellectual3、Social6,
ClanChief14,clan chief,clan chief,chief,成年,原版Core,,,Shooting6、Social7,
CloneFarmer58,clone farmer,clone farmer,cloner,成年,原版Core,,,Social6、Medicine4、Crafting2,
ColiseumFighter22,coliseum fighter,coliseum fighter,fighter,成年,原版Core,,,Intellectual2、Shooting5、Social-1、Crafting3,
ColonialGovernor78,colonial governor,colonial governor,governor,成年,原版Core,,,Construction3、Shooting1、Social6,
Colonist97,colonist,colonist,colonist,成年,原版Core,,,,
ColonyEngineer7,colony engineer,colony engineer,engineer,成年,原版Core,,,Construction7、Intellectual4、Medicine-3、Crafting4,
ColonySettler53,colony settler,colony settler,settler,成年,原版Core,,,Construction4、Plants4、Mining4,
CombatEngineer30,combat engineer,combat engineer,engineer,成年,原版Core,,,Construction6、Intellectual3、Shooting4、Social-3、Cooking-2、Medicine2、Crafting2,
CombatEngineer4,combat engineer,combat engineer,engineer,成年,原版Core,,,Construction2、Shooting5、Crafting3,
CombatMedic82,combat medic,combat medic,medic,成年,原版Core,,,Shooting2、Melee1、Medicine6、Artistic-2,
CombatMedtech59,combat medtech,combat medtech,medic,成年,原版Core,,,Construction3、Intellectual1、Medicine5、Crafting5,
CombatNegotiator31,combat negotiator,combat negotiator,negotiator,成年,原版Core,,,Shooting4、Melee3、Social3,
CommonerLord45,commoner lord,commoner lord,lord,成年,原版Core,,,Melee7、Social6,
ComputerEngineer10,computer engineer,computer engineer,tech head,成年,原版Core,,,Intellectual8、Social4、Crafting2,
ComputerEngineer36,computer engineer,computer engineer,engineer,成年,原版Core,,,Intellectual6、Social-2、Artistic2、Crafting5,
ConArtist80,con artist,con artist,con artist,成年,原版Core,,,Social10,
ConceptualArtist39,conceptual artist,conceptual artist,artist,成年,原版Core,,,Artistic8、Crafting1,
ConstructionEngineer32,construction engineer,construction engineer,builder,成年,原版Core,,,Construction8、Plants-3,
ContractMiner86,contract miner,contract miner,contract miner,成年,原版Core,,,Mining8,
CoreworldJeweler19,coreworld jeweler,coreworld jeweler,jeweler,成年,原版Core,,,Construction3、Shooting-3、Artistic5、Crafting7,
CorpResearcher71,corp researcher,corp researcher,researcher,成年,原版Core,,,Intellectual8、Shooting-3、Melee-3、Medicine4、Crafting4,
CorpResearcher93,corp researcher,corp researcher,researcher,成年,原版Core,,,Intellectual8、Social3、Cooking-2、Medicine6、Crafting3,
CorporateBuilder58,corporate builder,corporate builder,builder,成年,原版Core,,,Construction7、Mining4,
CorporateManager76,corporate manager,corporate manager,manager,成年,原版Core,,,Social6、Intellectual2,
CosmeticReject64,traveling handywoman,traveling handywoman,handywoman,成年,原版Core,,,Crafting4、Intellectual2、Construction4、Plants-2、Melee-2,
CosmeticSurgeon36,cosmetic surgeon,cosmetic surgeon,surgeon,成年,原版Core,,,Intellectual3、Medicine8、Artistic6,
CostumeCrafter41,costume crafter,costume crafter,costumer,成年,原版Core,,,Intellectual4、Crafting8,
Counselor26,counselor,counselor,counselor,成年,原版Core,,,Social9,
CraftShaper37,craft shaper,craft shaper,shaper,成年,原版Core,,,Construction4、Social-3、Artistic5、Crafting8,
CrimeLord10,crime lord,crime lord,crime lord,成年,原版Core,,,Intellectual2、Shooting6、Melee2、Social3,
CriminalKingpin36,criminal kingpin,criminal kingpin,kingpin,成年,原版Core,,,Shooting2、Melee2、Social5,
CriminalSurgeon99,criminal surgeon,criminal surgeon,surgeon,成年,原版Core,,,Intellectual-3、Melee6、Social-2、Medicine5、Artistic1,
CropFarmer17,crop farmer,crop farmer,farmer,成年,原版Core,,,Plants8,
DeepSpaceMiner3,deep space miner,deep space miner,miner,成年,原版Core,,,Mining7、Construction3、Melee2,
DeepSpaceSurveyor1,deep space surveyor,deep space surveyor,surveyor,成年,原版Core,,,Construction4、Plants-3、Intellectual6、Shooting4、Social2,
Defector78,defector,defector,defector,成年,原版Core,,,Shooting5、Social-4、Medicine3,
Defector95,defector,defector,defector,成年,原版Core,,,Construction3、Shooting4、Melee2、Social-2、Medicine4、Crafting3,
DefenseLawyer71,defense lawyer,defense lawyer,lawyer,成年,原版Core,,,Intellectual5、Shooting3、Social8,
DestroyerGeneral26,destroyer-general,destroyer-general,general,成年,原版Core,,,Shooting6、Melee3、Social6、Artistic-3,
Digger31,digger,digger,digger,成年,原版Core,,,Mining8,
Digger66,digger,digger,digger,成年,原版Core,,,Mining6、Construction2,
DischargedSoldier53,discharged soldier,discharged soldier,soldier,成年,原版Core,,,Shooting6、Melee4、Cooking2,
DoomsdayPariah18,doomsday pariah,doomsday pariah,pariah,成年,原版Core,,,Construction2、Intellectual3、Shooting2、Melee2、Crafting2,
DreadedDude58,dreaded dude,dreaded dude,dude,成年,原版Core,,,Intellectual6、Mining-3、Medicine2、Artistic8、Crafting4,
Drifter67,drifter,drifter,drifter,成年,原版Core,,,Cooking3、Construction3、Artistic-4,
DromedaryKnight37,dromedary knight,dromedary knight,knight,成年,原版Core,,,Shooting-3、Melee4、Social4、Animals4,
DrugLieutenant98,drug lieutenant,drug lieutenant,drugman,成年,原版Core,,,Plants4、Social7、Medicine7,
EnergyResearcher89,energy researcher,energy researcher,researcher,成年,原版Core,,,Intellectual8、Social-2、Artistic-1、Crafting2,
Engineer40,engineer,engineer,engineer,成年,原版Core,,,Construction2、Intellectual1、Social2、Cooking-2、Crafting8,
EngineeredPilot75,engineered pilot,engineered pilot,pilot,成年,原版Core,,,Shooting5、Melee2、Social-2、Medicine2,
EnvoyOfTheStars19,envoy of the stars,envoy of the stars,envoy,成年,原版Core,,,Shooting1、Social8、Medicine2、Artistic2,
EscapedConvict90,escaped convict,escaped convict,escapee,成年,原版Core,,,Mining4、Crafting2,
Evangelist39,evangelist,evangelist,evangelist,成年,原版Core,,,Social4、Artistic4、Medicine-3,
Excavator55,excavator,excavator,excavator,成年,原版Core,,,Mining8,
ExecutiveOfficer5,executive officer,executive officer,executive,成年,原版Core,,,Construction3、Intellectual4、Melee2、Social7,
ExiledResearcher44,exiled researcher,exiled researcher,exile,成年,原版Core,,,Intellectual8、Shooting2、Medicine4、Artistic2、Crafting3,
ExoticChef96,exotic chef,exotic chef,chef,成年,原版Core,,,Cooking6、Artistic2、Crafting1,
ExpertHandyman8,expert handyman,expert handyman,handyman,成年,原版Core,,,Construction7、Intellectual4、Crafting3,
Explorer49,explorer,explorer,explorer,成年,原版Core,,,Intellectual3、Mining3、Shooting2、Melee2、Crafting2,
ExplorerWriter10,explorer-writer,explorer-writer,explorer,成年,原版Core,,,Construction3、Plants3、Intellectual4、Cooking2、Medicine3、Crafting2,
ExplosivesExpert26,explosives expert,explosives expert,blaster,成年,原版Core,,,Mining5、Intellectual5,
FactionLeader74,faction leader,faction leader,leader,成年,原版Core,,,Intellectual3、Melee2、Social8、Medicine2,
FactoryWorker58,factory worker,factory worker,worker,成年,原版Core,,,Animals3、Construction3、Crafting2,
FallenOfficial12,fallen official,fallen official,official,成年,原版Core,,,Melee2、Social5、Medicine2,
FearfulChef49,fearful chef,fearful chef,chef,成年,原版Core,,,Plants2、Intellectual2、Medicine2,
FelineScientist76,feline scientist,feline scientist,scientist,成年,原版Core,,,Intellectual4、Social2、Medicine3,
FerventResearcher72,fervent researcher,fervent researcher,researcher,成年,原版Core,,,Intellectual6、Shooting2、Medicine8,
FighterController67,fighter controller,fighter controller,controller,成年,原版Core,,,Shooting5、Melee5、Social2、Cooking1、Medicine3,
Flaneur30,flaneur,flaneur,flaneur,成年,原版Core,,,Intellectual3、Social6、Cooking3、Artistic3,
ForestProwler15,forest prowler,forest prowler,prowler,成年,原版Core,,,Melee3、Social4、Crafting2,
Forester96,forester,forester,forester,成年,原版Core,,,Plants6、Intellectual2,
Framer37,framer,framer,framer,成年,原版Core,,,Construction6、Plants2,
FrontierMarshal27,frontier marshal,frontier marshal,marshal,成年,原版Core,,,Shooting5、Social4、Medicine3,
Fugitive4,fugitive,fugitive,fugitive,成年,原版Core,,,Plants3、Social-2、Cooking4、Medicine4,
FurnitureBuilder83,furniture builder,furniture builder,builder,成年,原版Core,,,Construction4、Plants3,
GameDeveloper95,game developer,game developer,game dev,成年,原版Core,,,Construction-2、Mining-2,
GameTester77,game tester,game tester,tester,成年,原版Core,,,Intellectual5、Shooting4、Melee4、Social-2、Medicine4,
GangBoss49,gang boss,gang boss,boss,成年,原版Core,,,Construction4、Shooting8、Melee6、Social-3、Medicine3,
GangSoldier39,gang soldier,gang soldier,soldier,成年,原版Core,,,Construction2、Shooting6、Melee3、Cooking2、Medicine2,
Gardener99,gardener,gardener,gardener,成年,原版Core,,,Plants8,
Gatherer70,gatherer,gatherer,gatherer,成年,原版Core,,,Plants8、Animals-2,
GeneticEngineer89,genetic engineer,genetic engineer,geneticist,成年,原版Core,,,Plants1、Intellectual6、Medicine2,
GeneticScientist66,genetic scientist,genetic scientist,geneticist,成年,原版Core,,,Intellectual4、Shooting2、Medicine3,
Geologist66,geologist,geologist,geologist,成年,原版Core,,,Mining8、Crafting3,
Gigolo30,gigolo,gigolo,courtesan,成年,原版Core,,,Social8、Melee3,
Gigolo68,gigolo,gigolo,gigolo,成年,原版Core,,,Shooting3、Melee6、Cooking7,
GlitterworldEmpath26,glitterworld empath,glitterworld empath,empath,成年,原版Core,,,Social8、Medicine2,
GlitterworldOfficer60,glitterworld officer,glitterworld officer,officer,成年,原版Core,,,Melee6、Artistic4,
GlitterworldSurgeon15,glitterworld surgeon,glitterworld surgeon,surgeon,成年,原版Core,,,Artistic5、Medicine3、Social1,
Gnomebiologist96,gnomebiologist,gnomebiologist,biologist,成年,原版Core,,,Intellectual4、Social4、Artistic7、Crafting4,
GovernmentAgent61,government agent,government agent,agent,成年,原版Core,,,Shooting4、Melee4、Medicine3,
GraphicDesigner33,graphic designer,graphic designer,designer,成年,原版Core,,,Artistic7、Crafting1,
Guardian55,guardian,guardian,guardian,成年,原版Core,,,Shooting4、Melee4、Medicine4,
GunDealer14,gun dealer,gun dealer,gun dealer,成年,原版Core,,,Shooting4、Social8,
Gunfighter51,gunfighter,gunfighter,gunfighter,成年,原版Core,,,Shooting8、Melee2、Medicine6,
Healer35,healer,healer,healer,成年,原版Core,,,Plants5、Medicine7,
Healer46,healer,healer,healer,成年,原版Core,,,Medicine5、Plants3,
HearthTender66,hearth tender,hearth tender,tender,成年,原版Core,,,Cooking4、Medicine3、Crafting2,
HedgeFundManager54,hedge fund manager,hedge fund manager,banker,成年,原版Core,,,Construction-2、Plants-2、Intellectual3、Social4、Artistic7,
Herbalist54,herbalist,herbalist,herbalist,成年,原版Core,,,Plants4、Medicine4、Social-2,
Herder33,herder,herder,herder,成年,原版Core,,,Shooting3、Animals5,
Hermit82,hermit,hermit,hermit,成年,原版Core,,,Plants4、Crafting3、Construction1,
Herpetologist3,herpetologist,herpetologist,herper,成年,原版Core,,,Plants2、Intellectual2、Medicine4、Animals6,
HiredAssassin37,hired assassin,hired assassin,assassin,成年,原版Core,,,Shooting4、Melee5、Social3,
HiredGun70,hired gun,hired gun,hired gun,成年,原版Core,,,Shooting6、Melee2、Cooking2、Medicine3,
HiredMuscle5,hired muscle,hired muscle,hired thug,成年,原版Core,,,Shooting5、Melee3、Social3,
HouseServant63,house servant,house servant,servant,成年,原版Core,,,Cooking4、Plants-3、Mining-3,
Housemate8,housemate,housemate,housemate,成年,原版Core,,,Cooking3、Medicine3、Crafting2,
HumanComputer83,human computer,human computer,computer,成年,原版Core,,,Shooting3、Intellectual7,
HumanTrafficker35,human trafficker,human trafficker,trafficker,成年,原版Core,,,Melee4、Social3、Crafting2,
Hunter73,hunter,hunter,hunter,成年,原版Core,,,Plants2、Shooting6、Medicine4,
Hunter74,hunter,hunter,hunter,成年,原版Core,,,Shooting4、Melee3、Animals2,
Hunter89,hunter,hunter,hunter,成年,原版Core,,,Animals3、Shooting5,
HunterOfTheKing53,hunter of the king,hunter of the king,pest guard,成年,原版Core,,,Intellectual-2、Shooting6、Melee4、Medicine3、Crafting-3,
HypnocultLeader61,hypnocult leader,hypnocult leader,cultist,成年,原版Core,,,Intellectual5、Social8,
IllegalShipwright76,illegal shipwright,illegal shipwright,shipwright,成年,原版Core,,,Construction7,
ImperialGeneral27,imperial general,imperial general,general,成年,原版Core,,,Construction-2、Intellectual4、Mining-3、Shooting4、Melee4、Social5、Medicine2,
InformationBroker77,information broker,information broker,broker,成年,原版Core,,,Intellectual4、Shooting-1、Melee-2、Social5,
IntelligenceAgent10,intelligence agent,intelligence agent,agent,成年,原版Core,,,Shooting7、Melee4、Social8,
IntimateAssassin35,intimate assassin,intimate assassin,assassin,成年,原版Core,,,Melee8、Social4,
Inventor6,inventor,inventor,inventor,成年,原版Core,,,Crafting5、Intellectual2,
InvoluntaryHermit38,involuntary hermit,involuntary hermit,hermit,成年,原版Core,,,Construction1、Plants3、Melee4、Crafting3,
Jailbird40,jailbird,jailbird,jailbird,成年,原版Core,,,Melee5、Cooking3,
JoywireArtist8,joywire artist,joywire artist,joywirer,成年,原版Core,,,Artistic3、Intellectual2、Medicine2,
KingOfPirates25,king of pirates,king of pirates,pirate,成年,原版Core,,,Shooting5、Melee8、Social4、Animals3,
LanguageAnalyst27,language analyst,language analyst,linguist,成年,原版Core,,,Plants4、Intellectual8,
LazyProgrammer3,lazy programmer,lazy programmer,programmer,成年,原版Core,,,Intellectual8,
LivestockFarmer8,livestock farmer,livestock farmer,farmer,成年,原版Core,,,Animals7,
Logger16,logger,logger,logger,成年,原版Core,,,Plants6、Melee3,
Logger95,logger,logger,logger,成年,原版Core,,,Plants8,
LoneTraveler95,lone traveler,lone traveler,traveler,成年,原版Core,,,Plants3、Shooting4、Medicine3、Artistic-2,
Loner61,loner,loner,loner,成年,原版Core,,,Shooting3、Melee2、Plants5、Construction1,
LoreKeeper51,lore keeper,lore keeper,keeper,成年,原版Core,,,Intellectual2、Social3、Artistic2,
LostMarine81,lost marine,lost marine,traitor,成年,原版Core,,,Shooting7、Melee5、Medicine2、Crafting6,
LostSoldier13,lost soldier,lost soldier,lost,成年,原版Core,,,Construction5、Intellectual-3、Social-2、Crafting5,
LowWageWorker7,low-wage worker,low-wage worker,grunt,成年,原版Core,,,Cooking4、Plants3、Crafting3,
MachineCollector55,machine collector,machine collector,collector,成年,原版Core,,,Social-3、Crafting6、Intellectual6,
MachineFixer31,machine fixer,machine fixer,fixer,成年,原版Core,,,Construction5、Medicine5、Crafting3,
MadAccountant61,mad accountant,mad accountant,accountant,成年,原版Core,,,Intellectual6、Shooting4、Social4,
MadScientist2,mad scientist,mad scientist,scientist,成年,原版Core,,,Construction3、Intellectual7、Social-2,
MadScientist22,mad scientist,mad scientist,scientist,成年,原版Core,,,Intellectual5、Shooting5、Medicine4、Crafting2,
MadScientist31,mad scientist,mad scientist,scientist,成年,原版Core,,,Intellectual8、Mining3、Medicine3、Artistic-3、Animals-2,
MafiaBoss17,mafia boss,mafia boss,boss,成年,原版Core,,,Shooting4、Melee3、Social4,
Malingerer28,malingerer,malingerer,malingerer,成年,原版Core,,,Intellectual2、Social5,
MarbleDoctor99,marble doctor,marble doctor,doctor,成年,原版Core,,,Intellectual4、Medicine8,
MasterChef48,master chef,master chef,chef,成年,原版Core,,,Cooking8、Artistic4,
MasterTrader65,master trader,master trader,trader,成年,原版Core,,,Social8、Cooking2、Artistic4,
Mathematician6,mathematician,mathematician,math prof,成年,原版Core,,,Shooting-3、Intellectual8,
MechWarVeteran77,mech war veteran,mech war veteran,veteran,成年,原版Core,,,Shooting7、Melee4,
MechanicsEngineer64,mechanics engineer,mechanics engineer,engineer,成年,原版Core,,,Construction5、Plants-2、Intellectual2、Crafting6,
MedicSoldier54,medic soldier,medic soldier,medic,成年,原版Core,,,Intellectual5、Medicine7,
MedicalScientist16,medical scientist,medical scientist,scientist,成年,原版Core,,,Intellectual8、Medicine2,
MedievalDoctor40,medieval doctor,medieval doctor,quack,成年,原版Core,,,Melee6、Medicine1,
MedievalFarmOaf58,medieval farm oaf,medieval farm oaf,oaf,成年,原版Core,,,Plants8、Mining3,
MedievalKnight26,medieval knight,medieval knight,knight,成年,原版Core,,,Shooting2、Melee6,
MedievalLord57,medieval lord,medieval lord,noble,成年,原版Core,,,Social7、Melee5、Shooting5,
MedievalMinstrel95,medieval minstrel,medieval minstrel,minstrel,成年,原版Core,,,Social4、Artistic3、Melee2,
MedievalSailor97,medieval sailor,medieval sailor,sailor,成年,原版Core,,,Melee4、Social4、Animals4,
MentalPatient69,mental patient,mental patient,patient,成年,原版Core,,,Plants3、Intellectual2、Shooting-2、Artistic3、Crafting3,
Mercenary20,mercenary,mercenary,mercenary,成年,原版Core,,,Construction2、Shooting6、Melee6、Social2、Crafting2,
Mercenary4,mercenary,mercenary,mercenary,成年,原版Core,,,Construction3、Mining2、Shooting5、Artistic-2,
Mercenary55,mercenary,mercenary,merc,成年,原版Core,,,Construction3、Mining2、Shooting4、Melee3,
MercenaryCaptain98,mercenary captain,mercenary captain,captain,成年,原版Core,,,Intellectual2、Shooting5、Social5,
MercenaryChef44,mercenary chef,mercenary chef,mercenary,成年,原版Core,,,Construction-3、Mining-3、Shooting4、Cooking5、Crafting5,
MercenaryLeader28,mercenary leader,mercenary leader,mercenary,成年,原版Core,,,Shooting4、Melee4、Social4,
MercenaryLord13,mercenary lord,mercenary lord,merc lord,成年,原版Core,,,Intellectual4、Shooting2、Social7、Medicine3、Artistic2,
MercenaryPilot63,mercenary pilot,mercenary pilot,mercenary,成年,原版Core,,,Construction3、Shooting6、Melee4、Social-1,
MessageCarrier77,message carrier,message carrier,messenger,成年,原版Core,,,Melee3、Animals4,
Microbiologist12,microbiologist,microbiologist,biologist,成年,原版Core,,,Intellectual5、Medicine3,
MidworldSailor91,midworld sailor,midworld sailor,sailor,成年,原版Core,,,Construction3、Shooting4、Melee3、Social4,
MilitaryEngineer45,military engineer,military engineer,engineer,成年,原版Core,,,Construction3、Shooting3、Melee1、Crafting4,
MilitaryGunsmith27,military gunsmith,military gunsmith,gunsmith,成年,原版Core,,,Construction2、Shooting5、Melee4、Cooking1、Medicine2、Crafting5,
MilitaryInventor35,military inventor,military inventor,inventor,成年,原版Core,,,Construction3、Intellectual3、Shooting1、Social2、Crafting3,
MilitaryOfficer17,military officer,military officer,officer,成年,原版Core,,,Construction2、Intellectual2、Shooting8、Social-3,
MilitiaSoldier79,militia soldier,militia soldier,soldier,成年,原版Core,,,Construction3、Melee3、Social4、Medicine-3、Artistic4、Crafting3,
MindwipedAssassin50,mindwiped assassin,mindwiped assassin,mindwipe,成年,原版Core,,,Shooting8、Melee4、Cooking-2,
Minister88,minister,minister,minister,成年,原版Core,,,Intellectual3、Shooting2、Social4、Crafting3,
Missionary99,missionary,missionary,missionary,成年,原版Core,,,Social6、Cooking4、Medicine2,
