defName,label,来源mod,落地方式,techLevel,①穿戴位置,②用途场景,③科技档,旧分类,①依据,②依据
Apparel_ArmorRecon,recon armor,(原版 Data),上游补丁(Core),Spacer,全身连体,战斗护甲,太空,LightFullArmorCat,旧分类,护甲值/甲类
Apparel_ArmorReconPrestige,prestige recon armor,Core_SK_DLCModule,上游补丁,Spacer,全身连体,战斗护甲,太空,LightFullArmorCat,旧分类,护甲值/甲类
Apparel_ArrayHeadset,array headset,(原版 Data),上游补丁(Core),Spacer,头部,战斗护甲,太空,HeadgearMechanitor,旧分类,护甲值/甲类
Apparel_AuthorityCap,authority cap,(原版 Data),上游补丁(Core),Medieval,头部,日常便服,中世纪,HeaddressCat,旧分类,默认/待裁决
Apparel_Aviators,Aviator sunglasses,Core_SK,上游补丁,Industrial,配饰腰背,装饰饰品,工业,AccessoriesCat,旧分类,旧分类
Apparel_Bandolier,heavy bandolier,(原版 Data),上游补丁(Core),Industrial,配饰腰背,日常便服,工业,ApparelMisc,layer,旧分类
Apparel_BasicShirt,T-Shirt,(原版 Data),上游补丁(Core),Medieval,全身连体,日常便服,中世纪,BodySuitsCat,旧分类,默认/待裁决
Apparel_BattleMask,Marine Storm Mask,Core_SK,上游补丁,Industrial,配饰腰背,装饰饰品,工业,AccessoriesCat|Setmarinearmor,旧分类,旧分类
Apparel_Beret,beret,(原版 Data),上游补丁(Core),Industrial,头部,礼仪贵族,工业,HeadgearNoble|SetNoble,旧分类,旧分类
Apparel_Blazer,Blazer,Core_SK,上游补丁,Medieval,躯干外衣,日常便服,中世纪,UpperOverdressCat,旧分类,默认/待裁决
Apparel_Blindfold,blindfold,(原版 Data),上游补丁(Core),Medieval,头部,日常便服,中世纪,HeaddressCat,旧分类,默认/待裁决
Apparel_BodyStrap,slave body strap,(原版 Data),上游补丁(Core),Medieval,躯干外衣,日常便服,中世纪,ApparelMisc,layer,旧分类
Apparel_Bonnet,bonnet,HMC Vile's Pre-Industrial,上游补丁,Medieval,头部,日常便服,中世纪,HeaddressCat|SetSlaver,旧分类,默认/待裁决
Apparel_BowlerHat,Tourist Hat,(原版 Data),上游补丁(Core),Industrial,头部,日常便服,工业,HeaddressCat,旧分类,默认/待裁决
Apparel_Broadwrap,broadwrap,(原版 Data),上游补丁(Core),Neolithic,头部,日常便服,原始,HeaddressCat,旧分类,默认/待裁决
Apparel_BrocadeVest,Brocade Vest,Core_SK,上游补丁,Medieval,躯干外衣,战斗护甲,中世纪,VestsCat|SetBandit,旧分类,战斗套装
Apparel_BronzeHelmet,Bronze Helmet,HMC Vile's Pre-Industrial,上游补丁,Neolithic,头部,战斗护甲,原始,PreModernHelmetsCat,旧分类,护甲值/甲类
Apparel_Burka,burka,(原版 Data),上游补丁(Core),Neolithic,躯干外衣,日常便服,原始,ApparelMisc,layer,旧分类
Apparel_Cape,cape,(原版 Data),上游补丁(Core),Medieval,躯干外衣,礼仪贵族,中世纪,ApparelNoble|SetNoble,layer,旧分类
Apparel_Cassie,Dinner Jacket,HMC Vile's Pre-Industrial,上游补丁,Industrial,躯干外衣,职业劳作,工业,UpperOverdressCat|SetMedieval|SetCommoner|SetLeader,旧分类,label
Apparel_CerebrexNode,cerebrex node,(原版 Data),上游补丁(Core),Spacer,配饰腰背,战术装备,太空,ApparelUtility,layer,人工裁决
Apparel_ChefJacket,Chef jacket,Core_SK,上游补丁,Industrial,躯干外衣,职业劳作,工业,UpperOverdressCat|SetCookie,旧分类,职业套装
Apparel_ClothMask,face mask,(原版 Data),上游补丁(Core),Neolithic,面饰眼部,环境防护,原始,GasMasksCat,旧分类,旧分类
Apparel_Collar,slave collar,(原版 Data),上游补丁(Core),Medieval,头部,职业劳作,中世纪,SpecialHelmetsCat,旧分类,特化头具
Apparel_CollarShirt,Button-down Shirt,HMC Vile's Pre-Industrial,上游补丁,Medieval,全身连体,日常便服,中世纪,BodySuitsCat,旧分类,默认/待裁决
Apparel_CookApron,Cook Apron,Core_SK,上游补丁,Industrial,躯干外衣,职业劳作,工业,VestsCat|SetCookie,旧分类,职业套装
Apparel_Coronet,coronet,(原版 Data),上游补丁(Core),Medieval,头部,礼仪贵族,中世纪,HeadgearNoble|SetNoble,旧分类,旧分类
Apparel_Corset,corset,(原版 Data),上游补丁(Core),Medieval,躯干外衣,礼仪贵族,中世纪,ApparelNoble|VestsCat|SetNoble,旧分类,旧分类
Apparel_CowboyHat,Duelist's Hat,(原版 Data),上游补丁(Core),Industrial,头部,战斗护甲,工业,HeaddressCat|SetBandit,旧分类,战斗套装
Apparel_Crown,crown,(原版 Data),上游补丁(Core),Medieval,头部,礼仪贵族,中世纪,HeadgearNoble|SetNoble,旧分类,旧分类
Apparel_CrownStellic,stellic crown,(原版 Data),上游补丁(Core),Medieval,头部,礼仪贵族,中世纪,HeadgearNoble|SetNoble,旧分类,旧分类
Apparel_CryptosleepBodysuit,Cryptosleep uniform,Core_SK,上游补丁,Industrial,全身连体,职业劳作,工业,FullBodySuitsCat,旧分类,label
Apparel_Cryptosuit,Cryptosuit,Core_SK,上游补丁,Spacer,全身连体,环境防护,太空,FullBodySuitsCat,旧分类,人工裁决
Apparel_DesertRobe,Desert robe,Core_SK,上游补丁,Medieval,躯干外衣,礼仪贵族,中世纪,ApparelNoble|SetNoble,layer,旧分类
Apparel_DoctorBrocade,Doctor's Brocade,Core_SK,上游补丁,Industrial,躯干外衣,职业劳作,工业,UpperOverdressCat|SetMedical,旧分类,职业套装
Apparel_Duster,Duster,HMC Vile's Pre-Industrial,上游补丁,Medieval,躯干外衣,日常便服,中世纪,UpperOverdressCat,旧分类,默认/待裁决
Apparel_Earmuff,Earmuff,Core_SK,上游补丁,Industrial,配饰腰背,装饰饰品,工业,AccessoriesCat,旧分类,旧分类
Apparel_EltexSkullcap,eltex skullcap,(原版 Data),上游补丁(Core),Ultra,头部,职业劳作,极致,SpecialHelmetsCat,旧分类,特化头具
Apparel_FSDesertRobe,Desert robe,HMC Vile's Pre-Industrial,上游补丁,Medieval,躯干外衣,战斗护甲,中世纪,UpperOverdressCat|ShellLayerCat,旧分类,护甲值/甲类
Apparel_FSFurCoat,Hide Coat,HMC Vile's Pre-Industrial,上游补丁,Neolithic,躯干外衣,战斗护甲,原始,UpperOverdressCat|ShellLayerCat|SetCommoner|SetNeolithic,旧分类,护甲值/甲类
Apparel_FirefoampopPack,firefoam pop pack,(原版 Data),上游补丁(Core),Industrial,配饰腰背,日常便服,工业,ApparelUtility,layer,默认/待裁决
Apparel_FlakJacket,combat jacket,(原版 Data),上游补丁(Core),Industrial,躯干外衣,战斗护甲,工业,LightUpperArmorCat|Setmarinearmor,旧分类,护甲值/甲类
Apparel_FlakPants,flak pants,(原版 Data),上游补丁(Core),Industrial,下衣裤裙,战斗护甲,工业,MilitaryPantsCat,旧分类,护甲值/甲类
Apparel_FlakVest,flak vest,(原版 Data),上游补丁(Core),Industrial,躯干外衣,战斗护甲,工业,VestsCat,旧分类,护甲值/甲类
Apparel_Flophat,flophat,(原版 Data),上游补丁(Core),Medieval,头部,日常便服,中世纪,HeaddressCat,旧分类,默认/待裁决
Apparel_FurCoat,Long coat,Core_SK,上游补丁,Medieval,躯干外衣,日常便服,中世纪,UpperOverdressCat|SetMedieval,旧分类,默认/待裁决
Apparel_Gambeson,Gambeson,Core_SK,上游补丁,Medieval,全身连体,日常便服,中世纪,BodySuitsCat|SetMedieval,旧分类,默认/待裁决
Apparel_GambesonPadded,Padded Gambeson,Core_SK,上游补丁,Medieval,全身连体,日常便服,中世纪,BodySuitsCat|SetMedieval,旧分类,默认/待裁决
Apparel_GasMask,gas mask,(原版 Data),上游补丁(Core),Industrial,面饰眼部,环境防护,工业,GasMasksCat,旧分类,旧分类
Apparel_GlowstoneWard,glowstone ward,Core_SK,上游补丁,Neolithic,配饰腰背,装饰饰品,原始,AccessoriesCat,旧分类,旧分类
Apparel_GrinderHelmet,Feral Scrapmetal Helmet,HMC Vile's Pre-Industrial,上游补丁,Medieval,头部,战斗护甲,中世纪,PreModernHelmetsCat|SetApocalyptic,旧分类,护甲值/甲类
Apparel_Gunlink,gunlink,(原版 Data),上游补丁(Core),Spacer,头部,战斗护甲,太空,MilitaryHeaddressCat,旧分类,护甲值/甲类
Apparel_HatHood,Draped hood,(原版 Data),上游补丁(Core),Medieval,头部,日常便服,中世纪,HeaddressCat,旧分类,默认/待裁决
Apparel_HatLadies,ladies hat,(原版 Data),上游补丁(Core),Medieval,头部,礼仪贵族,中世纪,HeadgearNoble|SetNoble,旧分类,旧分类
Apparel_HatTop,top hat,(原版 Data),上游补丁(Core),Medieval,头部,礼仪贵族,中世纪,HeadgearNoble|SetNoble,旧分类,旧分类
Apparel_HazardHelmet,Chemical Protection Helmet,Core_SK,上游补丁,Industrial,头部,战术装备,工业,SpecialApparelCat|SetChemicalProtectionSuit,layer,旧分类
Apparel_HazardVest,Chemical Protection Suit,Core_SK,上游补丁,Industrial,躯干外衣,战术装备,工业,SpecialApparelCat|SetChemicalProtectionSuit,layer,旧分类
Apparel_Headwrap,headwrap,(原版 Data),上游补丁(Core),Neolithic,头部,日常便服,原始,HeaddressCat,旧分类,默认/待裁决
Apparel_HeavyShield,heavy shield unit,(原版 Data),上游补丁(Core),Medieval,躯干外衣,日常便服,中世纪,,layer,默认/待裁决
Apparel_HuskerHood,Feral Wire Hood,HMC Vile's Pre-Industrial,上游补丁,Medieval,躯干外衣,战斗护甲,中世纪,CombinedArmorCat|SetApocalyptic,旧分类,护甲值/甲类
Apparel_IntegratorHeadset,integrator headset,(原版 Data),上游补丁(Core),Spacer,头部,战斗护甲,太空,HeadgearMechanitor,旧分类,护甲值/甲类
Apparel_Jacket,Jacket,HMC Vile's Pre-Industrial,上游补丁,Medieval,躯干外衣,战斗护甲,中世纪,UpperOverdressCat|SetBandit,旧分类,战斗套装
Apparel_Jumpsuit,Jumpsuit,Core_SK,上游补丁,Spacer,全身连体,环境防护,太空,FullBodySuitsCat,旧分类,人工裁决
Apparel_KidHelmet,kid helmet,Core_SK_DLCModule,上游补丁,Industrial,贴身内衣,日常便服,工业,KidsApparel,layer,旧分类
Apparel_KidPants,kid pants,Core_SK_DLCModule,上游补丁,Industrial,贴身内衣,日常便服,工业,KidsApparel,layer,旧分类
Apparel_KidParka,kid parka,Core_SK_DLCModule,上游补丁,Neolithic,躯干外衣,日常便服,原始,KidsApparel,layer,旧分类
Apparel_KidRomper,kid romper,Core_SK_DLCModule,上游补丁,Industrial,贴身内衣,日常便服,工业,KidsApparel,layer,旧分类
Apparel_KidShirt,kid shirt,Core_SK_DLCModule,上游补丁,Industrial,贴身内衣,日常便服,工业,KidsApparel,layer,旧分类
Apparel_KidTribal,kid tribalwear,Core_SK_DLCModule,上游补丁,Neolithic,贴身内衣,日常便服,原始,KidsApparel,layer,旧分类
Apparel_LongCloak,Long cloak,Core_SK,上游补丁,Medieval,躯干外衣,日常便服,中世纪,UpperOverdressCat|SetMedieval,旧分类,默认/待裁决
Apparel_MarineBodysuit,Marine Bodysuit,Core_SK,上游补丁,Industrial,全身连体,战斗护甲,工业,FullBodySuitsCat|Setmarinearmor,旧分类,战斗套装
Apparel_MarineShirt,Marine Shirt,Core_SK,上游补丁,Industrial,全身连体,战斗护甲,工业,BodySuitsCat|Setmarinearmor,旧分类,战斗套装
Apparel_MechlordSuit,mechlord suit,(原版 Data),上游补丁(Core),Spacer,躯干外衣,战斗护甲,太空,MediumUpperArmorCat|Setpowerarmor,旧分类,护甲值/甲类
Apparel_MedicUniform,Medical Uniform,Core_SK,上游补丁,Industrial,全身连体,职业劳作,工业,BodySuitsCat|SetMedical,旧分类,职业套装
Apparel_MedicalApron,Surgeon's apron,Core_SK,上游补丁,Industrial,躯干外衣,职业劳作,工业,VestsCat|SetMedical,旧分类,职业套装
Apparel_MedievalTunic,Medieval tunic,Core_SK,上游补丁,Medieval,全身连体,日常便服,中世纪,BodySuitsCat|SetMedieval,旧分类,默认/待裁决
Apparel_MiningHelmet,Mining Helmet,Core_SK,上游补丁,Industrial,头部,职业劳作,工业,SpecialHelmetsCat|SetMiner,旧分类,职业套装
Apparel_MiningVest,mining vest,Core_SK,上游补丁,Industrial,躯干外衣,战术装备,工业,SpecialApparelCat|SetMiner,layer,旧分类
Apparel_MoppMaskDesert,MOPP mask(Desert),Rimatomics_SK,上游补丁,Industrial,头部,战术装备,工业,SpecialApparelCat|SetChemicalProtectionSuit,layer,旧分类
Apparel_MoppMaskSnow,MOPP mask(Snow),Rimatomics_SK,上游补丁,Industrial,头部,战术装备,工业,SpecialApparelCat|SetChemicalProtectionSuit,layer,旧分类
Apparel_MoppMaskWoodland,MOPP mask(Woodland),Rimatomics_SK,上游补丁,Industrial,头部,战术装备,工业,SpecialApparelCat|SetChemicalProtectionSuit,layer,旧分类
Apparel_MoppSuitDesert,MOPP suit(Desert),Rimatomics_SK,上游补丁,Industrial,躯干外衣,战术装备,工业,SpecialApparelCat|SetChemicalProtectionSuit,layer,旧分类
Apparel_MoppSuitSnow,MOPP suit(Snow),Rimatomics_SK,上游补丁,Industrial,躯干外衣,战术装备,工业,SpecialApparelCat|SetChemicalProtectionSuit,layer,旧分类
Apparel_MoppSuitWoodland,MOPP suit(Woodland),Rimatomics_SK,上游补丁,Industrial,躯干外衣,战术装备,工业,SpecialApparelCat|SetChemicalProtectionSuit,layer,旧分类
Apparel_MundaneShirt,Mundane Shirt,Core_SK,上游补丁,Medieval,全身连体,日常便服,中世纪,BodySuitsCat,旧分类,默认/待裁决
Apparel_OverallsCarbon,Carbon Overalls,Core_SK,上游补丁,Spacer,全身连体,环境防护,太空,FullBodySuitsCat,旧分类,人工裁决
Apparel_OverallsModified,Modified Overalls,Core_SK,上游补丁,Spacer,全身连体,环境防护,太空,FullBodySuitsCat,旧分类,人工裁决
Apparel_OverallsSpecial,Special Overalls,Core_SK,上游补丁,Spacer,全身连体,环境防护,太空,FullBodySuitsCat,旧分类,人工裁决
Apparel_OverallsStandard,Standard Overalls,Core_SK,上游补丁,Spacer,全身连体,环境防护,太空,FullBodySuitsCat,旧分类,人工裁决
Apparel_PackBandwidth,bandwidth pack,(原版 Data),上游补丁(Core),Spacer,配饰腰背,战术装备,太空,ApparelUtility,layer,人工裁决
Apparel_PackBroadshield,low-shield pack,(原版 Data),上游补丁(Core),Industrial,配饰腰背,日常便服,工业,ApparelUtility,layer,默认/待裁决
Apparel_PackControl,control pack,(原版 Data),上游补丁(Core),Spacer,配饰腰背,战术装备,太空,ApparelUtility,layer,人工裁决
Apparel_PackHunter,hunter pack,(原版 Data),上游补丁(Core),Industrial,配饰腰背,日常便服,工业,ApparelUtility,layer,默认/待裁决
Apparel_PackJump,jump pack,(原版 Data),上游补丁(Core),Industrial,配饰腰背,日常便服,工业,ApparelUtility,layer,默认/待裁决
Apparel_PackTox,tox pack,(原版 Data),上游补丁(Core),Industrial,配饰腰背,日常便服,工业,ApparelUtility,layer,默认/待裁决
Apparel_Pants,Modern Striped Suspenders,(原版 Data),上游补丁(Core),Industrial,下衣裤裙,日常便服,工业,UrbanPantsCat,旧分类,默认/待裁决
Apparel_Parka,Parka,HMC Vile's Pre-Industrial,上游补丁,Medieval,躯干外衣,日常便服,中世纪,UpperOverdressCat,旧分类,默认/待裁决
Apparel_ParkaB,Quilted Jacket,HMC Vile's Pre-Industrial,上游补丁,Medieval,躯干外衣,战斗护甲,中世纪,UpperOverdressCat|ShellLayerCat|SetCommoner,旧分类,护甲值/甲类
Apparel_PersonalNanoShield,Nanite Shield Modulator,Core_SK,上游补丁,Spacer,配饰腰背,战术装备,太空,SpecialApparelCat,layer,旧分类
Apparel_PilotVisor,Shuttle Pilot's Visor,Core_SK,上游补丁,Spacer,配饰腰背,装饰饰品,太空,AccessoriesCat,旧分类,旧分类
Apparel_PlateArmor,Plate Armor,HMC Vile's Pre-Industrial,上游补丁,Medieval,全身连体,战斗护甲,中世纪,LightFullArmorCat|SetMedieval,旧分类,护甲值/甲类
Apparel_Poncho,Poncho,Core_SK,上游补丁,Medieval,躯干外衣,战斗护甲,中世纪,UpperOverdressCat|SetBandit,旧分类,战斗套装
Apparel_PowerArmor,Heavy Power Armor,(原版 Data),上游补丁(Core),Spacer,全身连体,战斗护甲,太空,HeavyFullArmorCat|Setpowerarmor,旧分类,护甲值/甲类
Apparel_PowerArmorHelmet,Heavy Power Armor Helmet,(原版 Data),上游补丁(Core),Spacer,头部,战斗护甲,太空,HeavyHelmetsCat|Setpowerarmor,旧分类,护甲值/甲类
Apparel_PsychicFoilHelmet,Psychic Foil Helmet,(原版 Data),上游补丁(Core),Spacer,头部,职业劳作,太空,SpecialHelmetsCat,旧分类,特化头具
Apparel_PsychicInsanityLance,psychic insanity lance,(原版 Data),上游补丁(Core),Archotech,配饰腰背,战术装备,远古(Archotech),ApparelUtility,layer,人工裁决
Apparel_PsychicShockLance,psychic shock lance,(原版 Data),上游补丁(Core),Archotech,配饰腰背,战术装备,远古(Archotech),ApparelUtility,layer,人工裁决
Apparel_PsyfocusHelmet,eltex helmet,(原版 Data),上游补丁(Core),Ultra,头部,战斗护甲,极致,SpecialHelmetsCat,旧分类,护甲值/甲类
Apparel_PsyfocusRobe,eltex robe,(原版 Data),上游补丁(Core),Ultra,躯干外衣,战斗护甲,极致,UpperOverdressCat,旧分类,护甲值
Apparel_PsyfocusShirt,eltex shirt,(原版 Data),上游补丁(Core),Ultra,全身连体,战斗护甲,极致,FullBodySuitsCat,旧分类,护甲值
Apparel_PsyfocusVest,eltex vest,(原版 Data),上游补丁(Core),Ultra,躯干外衣,战斗护甲,极致,VestsCat,旧分类,护甲值/甲类
Apparel_QuiltedJacket,Quilted Jacket,Core_SK,上游补丁,Medieval,躯干外衣,职业劳作,中世纪,UpperOverdressCat,旧分类,label
Apparel_RadiationMask,Radiation mask,Rimatomics_SK,上游补丁,Industrial,头部,战术装备,工业,SpecialApparelCat|SetChemicalProtectionSuit,layer,旧分类
Apparel_RadiationSuit,radiation suit,Rimatomics_SK,上游补丁,Industrial,躯干外衣,战术装备,工业,SpecialApparelCat|SetChemicalProtectionSuit,layer,旧分类
Apparel_RagDress,Blacksmith's Apron,Core_SK,上游补丁,Neolithic,躯干外衣,战斗护甲,原始,MiddleLayerCat|SetMedieval|SetCommoner|SetSmith,旧分类,护甲值/甲类
Apparel_RagDressB,Patchwork Garment,HMC Vile's Pre-Industrial,上游补丁,Neolithic,全身连体,日常便服,原始,BodySuitsCat|BaseLayerCat|SetMedieval|SetCommoner,旧分类,默认/待裁决
Apparel_RagTunic,Ragged Tunic,Core_SK,上游补丁,Neolithic,全身连体,战斗护甲,原始,FullBodySuitsCat|SetBandit,旧分类,战斗套装
Apparel_Respirator,respirator,Core_SK,上游补丁,Industrial,面饰眼部,环境防护,工业,GasMasksCat,旧分类,旧分类
Apparel_Robe,robe,(原版 Data),上游补丁(Core),Medieval,躯干外衣,礼仪贵族,中世纪,ApparelNoble|SetNoble,layer,旧分类
Apparel_RobeRoyal,prestige robe,(原版 Data),上游补丁(Core),Medieval,躯干外衣,礼仪贵族,中世纪,ApparelNoble|SetNoble,layer,旧分类
Apparel_Sash,sash,(原版 Data),上游补丁(Core),Industrial,躯干外衣,日常便服,工业,ApparelMisc,layer,旧分类
Apparel_Shadecone,shadecone,(原版 Data),上游补丁(Core),Medieval,头部,日常便服,中世纪,HeaddressCat,旧分类,默认/待裁决
Apparel_ShieldBelt,shield belt,(原版 Data),上游补丁(Core),Spacer,配饰腰背,战术装备,太空,SpecialApparelCat|ApparelUtility,layer,旧分类
Apparel_ShieldGuardian,guardian shield,Core_SK,上游补丁,,配饰腰背,战术装备,未标,SpecialApparelCat|ApparelUtility,layer,旧分类
Apparel_ShirtRuffle,formal shirt,(原版 Data),上游补丁(Core),Medieval,贴身内衣,礼仪贵族,中世纪,ApparelNoble|SetNoble,layer,旧分类
Apparel_SimpleDress,simple dress,Core_SK,上游补丁,Neolithic,全身连体,日常便服,原始,BodySuitsCat|SetSlaver,旧分类,默认/待裁决
Apparel_SimpleHelmet,simple helmet,(原版 Data),上游补丁(Core),Industrial,头部,战斗护甲,工业,LightHelmetsCat,旧分类,护甲值/甲类
Apparel_SkiMask,Goggled Ski Mask,Core_SK,上游补丁,Industrial,配饰腰背,装饰饰品,工业,AccessoriesCat,旧分类,旧分类
Apparel_SkulkerHood,Mail Coif,HMC Vile's Pre-Industrial,上游补丁,Medieval,头部,战斗护甲,中世纪,PreModernHelmetsCat|SetMedieval|SetHorde|SetNorbal|SetArcher|SetKnight|SetInfantry|SetMilitia,旧分类,护甲值/甲类
Apparel_Slicecap,slicecap,(原版 Data),上游补丁(Core),Medieval,头部,日常便服,中世纪,HeaddressCat,旧分类,默认/待裁决
Apparel_SmithApron,Smith apron,Core_SK,上游补丁,Industrial,躯干外衣,职业劳作,工业,VestsCat|SetSmith|SetMiner|SetHarvester,旧分类,职业套装
Apparel_SmokepopBelt,smokepop belt,(原版 Data),上游补丁(Core),Industrial,配饰腰背,战术装备,工业,SpecialApparelCat|ApparelUtility,layer,旧分类
Apparel_Sunshades,Sunshades,Core_SK,上游补丁,Industrial,配饰腰背,装饰饰品,工业,AccessoriesCat,旧分类,旧分类
Apparel_TacticalMask,Marine Tactical Mask,Core_SK,上游补丁,Industrial,头部,战斗护甲,工业,MilitaryHeaddressCat|Setmarinearmor,旧分类,护甲值/甲类
Apparel_Tailcap,tailcap,(原版 Data),上游补丁(Core),Medieval,头部,日常便服,中世纪,HeaddressCat,旧分类,默认/待裁决
Apparel_ThermoCoat,Thermocoat,Core_SK,上游补丁,Spacer,躯干外衣,环境防护,太空,UpperOverdressCat,旧分类,人工裁决
Apparel_ThumperHood,Horde Helmet,HMC Vile's Pre-Industrial,上游补丁,Medieval,头部,战斗护甲,中世纪,PreModernHelmetsCat|SetHorde|SetArcher|SetLeader,旧分类,护甲值/甲类
Apparel_TortureCrown,torture crown,(原版 Data),上游补丁(Core),Medieval,头部,职业劳作,中世纪,SpecialHelmetsCat,旧分类,特化头具
Apparel_TraderCoat,Trader's coat,Core_SK,上游补丁,Medieval,躯干外衣,日常便服,中世纪,UpperOverdressCat,旧分类,默认/待裁决
Apparel_TribalA,Tribal Wear,HMC Vile's Pre-Industrial,上游补丁,Neolithic,下衣裤裙,日常便服,原始,UrbanPantsCat,旧分类,默认/待裁决
Apparel_TribalHeaddress,Feathered Headdress,HMC Vile's Pre-Industrial,上游补丁,Neolithic,头部,日常便服,原始,AnimalHeaddressCat,旧分类,默认/待裁决
Apparel_TribalShoulderpads,Tribal shoulderpads,Core_SK,上游补丁,Neolithic,躯干外衣,战斗护甲,原始,UpperOverdressCat,旧分类,护甲值
Apparel_TunicFine,Kirtle,Core_SK,上游补丁,Medieval,躯干外衣,战斗护甲,中世纪,MiddleLayerCat|SetMedieval|SetCommoner|SetTailor|SetSlaver,旧分类,护甲值/甲类
Apparel_TunicPoor,Work Tunic,Core_SK,上游补丁,Medieval,躯干外衣,战斗护甲,中世纪,MiddleLayerCat|SetMedieval|SetCommoner|SetSlaver|SetHarvester,旧分类,护甲值/甲类
Apparel_Tuque,Fancy Bandana,(原版 Data),上游补丁(Core),Industrial,头部,战斗护甲,工业,HeaddressCat|SetBandit,旧分类,战斗套装
Apparel_UrbanShirt,Urban Shirt,Core_SK,上游补丁,Industrial,全身连体,战斗护甲,工业,BodySuitsCat|SetBandit,旧分类,战斗套装
Apparel_Vacsuit,vacsuit,(原版 Data),上游补丁(Core),Spacer,躯干外衣,战术装备,太空,SpecialApparelCat,layer,旧分类
Apparel_VacsuitChildren,kid vacsuit,(原版 Data),上游补丁(Core),Spacer,躯干外衣,战术装备,太空,SpecialApparelCat|KidsApparel,layer,旧分类
Apparel_VacsuitHelmet,vacsuit helmet,(原版 Data),上游补丁(Core),Spacer,头部,战斗护甲,太空,SpecialHelmetsCat,旧分类,护甲值/甲类
Apparel_VestRoyal,formal vest,(原版 Data),上游补丁(Core),Medieval,躯干外衣,礼仪贵族,中世纪,ApparelNoble|VestsCat|SetNoble,旧分类,旧分类
Apparel_VicScullery,scullery maid uniform,Core_SK,上游补丁,Industrial,全身连体,职业劳作,工业,FullBodySuitsCat|SetSlaver,旧分类,label
Apparel_VisageMask,visage mask,(原版 Data),上游补丁(Core),Neolithic,头部,日常便服,原始,HeaddressCat,旧分类,默认/待裁决
Apparel_WandererPlate,Wanderer's chestplate,Core_SK,上游补丁,Medieval,躯干外衣,战斗护甲,中世纪,LightUpperArmorCat|SetMedieval,旧分类,护甲值/甲类
Apparel_WarMask,War Mask,HMC Vile's Pre-Industrial,上游补丁,Neolithic,头部,战斗护甲,原始,AnimalHeaddressCat|SetBandit,旧分类,战斗套装
Apparel_WarVeil,Chitin Head Garment,HMC Vile's Pre-Industrial,上游补丁,Neolithic,头部,战斗护甲,原始,AnimalHeaddressCat,旧分类,护甲值
