旧分类defName,旧label,旧深度,件数,新归属轴,处置,复用角色
HeadgearNoble,Noble Headgear,2,6,P7 头部,降级为 P7 的子分类,保留为三级子分类
RK_HeadgearNoble,ratkin noble headgear,3,0,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
HeavyHelmetsCat,Heavy Helmets,2,10,P7 头部,降级为 P7 的子分类,保留为三级子分类
LightHelmetsCat,Light Helmets,2,7,P7 头部,降级为 P7 的子分类,保留为三级子分类
MedievalHelmets,Medieval,2,10,P7 头部,降级为 P7 的子分类,保留为三级子分类
MediumHelmetsCat,Medium Helmets,2,10,P7 头部,降级为 P7 的子分类,保留为三级子分类
MilitaryHeaddressCat,Military,2,6,P7 头部,降级为 P7 的子分类,保留为三级子分类
PreModernHelmetsCat,Pre-Modern Helmets,2,16,P7 头部,降级为 P7 的子分类,保留为三级子分类
SpecialHelmetsCat,Specialized,2,15,P7 头部,降级为 P7 的子分类,保留为三级子分类
KidsApparel,Kids,1,8,?,需人工定档,空壳/层分类→并入新节点
Kurin_Apparel,kurin apparel,1,0,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
Kurin_Apparel_Middle,kurin middle apparel,2,0,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
Kurin_Apparel_OnSkin,kurin onskin apparel,2,33,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
Kurin_Apparel_Overhead,kurin overhead apparel,2,15,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
Kurin_Apparel_Shell,kurin shell apparel,2,6,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
Kurin_Apparel_Underwear,kurin underwear apparel,2,10,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
Loadout,loadbearing gear,1,0,P9 配饰腰背,降级为 P9 的子分类,空壳/层分类→并入新节点
Meow_Amulet,amulet,1,11,P9 配饰腰背,降级为 P9 的子分类,保留为三级子分类
Meow_Bracelet,bracelet,1,1,P9 配饰腰背,降级为 P9 的子分类,保留为三级子分类
Meow_Jewelry,jewelry,1,8,P9 配饰腰背,降级为 P9 的子分类,★复用为 ②装饰饰品(本地def)
Meow_Ring,ring,1,10,P9 配饰腰背,降级为 P9 的子分类,保留为三级子分类
MiddleLayerCat,Middle Layer,1,4,P2 躯干外衣,降级为 P2 的子分类,空壳/层分类→并入新节点
MiddleArmorCat,Middle Armor,2,3,P2 躯干外衣,降级为 P2 的子分类,空壳/层分类→并入新节点
Miho_Apparel,미호 의상,1,56,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
Miho_Headgear,Miho Headgear,2,13,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
PantsCat,Pants,1,4,P4 下衣裤裙,降级为 P4 的子分类,★复用为 ①下衣裤裙
MilitaryPantsCat,Military Pants,2,3,P4 下衣裤裙,降级为 P4 的子分类,保留为三级子分类
UrbanPantsCat,Urban Pants,2,12,P4 下衣裤裙,降级为 P4 的子分类,保留为三级子分类
RK_Apparel,ratkin apparel,1,225,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
OARatkin_Apparel,OARatkin apparel,2,37,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
OARatkin_Armor,OARatkin armor,2,7,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
OARatkin_Utility,OARatkin utility,2,17,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
RK_Headgear,ratkin headgear,2,72,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
OARatkin_ArmorHeadgear,OARatkin armor headgear,3,2,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
OARatkin_Headgear,OARatkin headgear,3,10,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
RK_Scroll,secret scroll,1,8,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
Sets,Sets,1,0,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
PreModernSets,Pre-Modern Set,2,0,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetArcher,Archer Set,3,12,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetCommoner,Commoner Set,3,16,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetFeudal,Feudal Set,3,4,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetHorde,Horde Set,3,4,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetInfantry,Infantry Set,3,16,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetKnight,Knight Set,3,15,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetLeader,Leadership Set,3,16,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetLegion,Legion Set,3,5,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetMilitia,Militia Set,3,16,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetNeolithic,Neolithic Set,3,7,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetNorbal,Norbal Set,3,9,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetAnimalHandler,Animal Handler Set,2,4,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetApocalyptic,Post-Apocalyptic Set,2,4,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetBandit,Bandit Set,2,14,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetChemicalProtectionSuit,Hazmat Suit Set,2,10,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetCombatarmor,Combat Armor Set,2,7,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetConstructor,Builder Set,2,2,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetCookie,Cook Set,2,5,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetHarvester,Farmer Set,2,5,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetInteractor,Interactor Set,2,8,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetJet,Jet Set,2,0,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetMedical,Medic Set,2,9,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetMedieval,Medieval Set,2,66,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetMiner,Miner Set,2,4,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetNoble,Noble Set,2,13,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetScout,Scout Set,2,1,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetSecurity,Security Set,2,5,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetSiegearmor,Siege Armor Set,2,4,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetSlaver,Slaver Set,2,10,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetSmith,Smith Set,2,5,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetSniper,Sniper Set,2,4,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetSyndicate,Syndicate Set,2,7,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
SetTailor,Tailor Set,2,1,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
Sethivearmor,Hive Armor Set,2,4,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
Setmarinearmor,Marine Set,2,8,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
Setpowerarmor,Power Armor Set,2,14,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
Setsteamarmor,Steam Set,2,4,D 身份套装池,"保留在 Sets 分支, 补中文名+排到末尾",④Sets 原样保留(补中文名)
ShellLayerCat,Shell Layer,1,6,P2 躯干外衣,降级为 P2 的子分类,空壳/层分类→并入新节点
ShellFullArmorCat,Full Armor,2,3,P2 躯干外衣,降级为 P2 的子分类,空壳/层分类→并入新节点
ShellPartialArmorCat,Partial Armor,2,5,P2 躯干外衣,降级为 P2 的子分类,空壳/层分类→并入新节点
ShieldCat,Shields,1,10,P9 配饰腰背,降级为 P9 的子分类,降为 ②战斗护甲 子分类
Shields,shields,1,0,?,需人工定档,空壳/层分类→并入新节点
SpecialApparelCat,Special,1,25,?,需人工定档,降为 ②战术 子分类
UpperDressCat,Upper Dress,1,0,P2 躯干外衣,降级为 P2 的子分类,★复用为 ①躯干外衣
HeavyUpperArmorCat,Heavy Armor,2,0,P2 躯干外衣,降级为 P2 的子分类,保留为三级子分类
LightUpperArmorCat,Light Armor,2,5,P2 躯干外衣,降级为 P2 的子分类,保留为三级子分类
MediumUpperArmorCat,Medium Armor,2,2,P2 躯干外衣,降级为 P2 的子分类,保留为三级子分类
UpperOverdressCat,Upper Overdress,2,22,P2 躯干外衣,降级为 P2 的子分类,保留为三级子分类
VFEC_Shields,shields,1,0,?,需人工定档,空壳/层分类→并入新节点
VestsCat,Vests,1,14,P2 躯干外衣,降级为 P2 的子分类,保留为三级子分类
