弹药类型,弹药 defName,中文名,弹药规格/口径,弹药等级/类别,弹种(ammoClass),适用武器 defName,武器中文名,武器类型,来源 mod,定义文件,制作配方,备注
复用CE弹药,AmmoSet_40x46mmGrenade,40×46mm榴弹,40×46mm,工业/榴弹,HE,RK_KO_GoldenGarden,"黄金园"榴弹铳,骑士团榴弹铳,鼠族HSK拓展,Patches/84_骑士团国CE适配.xml,CE 原版弹药配方,骑士团国(OrderState);弹匣1发 装填3.5s
复用CE弹药,AmmoSet_9x19mmPara,9×19mm帕拉贝鲁姆,9×19mm,工业/手枪,FMJ,RKMD_MachinePistol,鼠鼠冲锋手枪,冲锋手枪,鼠族HSK拓展,Patches/90_污染鼠族CE适配.xml,CE 原版弹药配方,RKMD 污染鼠族武器
复用CE弹药,AmmoSet_9x19mmPara,9×19mm帕拉贝鲁姆,9×19mm,工业/手枪,FMJ,RKMD_DualMachinePistol,鼠鼠双冲锋手枪,双持冲锋手枪,鼠族HSK拓展,Patches/90_污染鼠族CE适配.xml,CE 原版弹药配方,RKMD 污染鼠族武器
复用CE弹药,AmmoSet_303British,.303英式步枪弹,7.7×56mmR,工业/步枪,FMJ,RK_HuntingRifle,鼠鼠猎枪,猎枪,鼠族HSK拓展,Patches/90_污染鼠族CE适配.xml,CE 原版弹药配方,RKMD 污染鼠族武器
复用CE弹药,AmmoSet_303British,.303英式步枪弹,7.7×56mmR,工业/步枪,FMJ,RK_HuntingRifle_toxic,鼠鼠毒弹枪,毒弹猎枪,鼠族HSK拓展,Patches/90_污染鼠族CE适配.xml,CE 原版弹药配方,RKMD 污染鼠族武器
复用CE弹药,AmmoSet_303British,.303英式步枪弹,7.7×56mmR,工业/步枪,FMJ,RK_SharpHunter,锐眼猎手,狙击步枪,鼠族HSK拓展,Patches/90_污染鼠族CE适配.xml,CE 原版弹药配方,RKMD 污染鼠族武器
复用CE弹药,AmmoSet_9x19mmPara,9×19mm帕拉贝鲁姆,9×19mm,工业/手枪,FMJ,RK_CrazySting,鼠鼠疯狂之钉,冲锋手枪,鼠族HSK拓展,Patches/90_污染鼠族CE适配.xml,CE 原版弹药配方,RKMD 污染鼠族武器
复用CE弹药,AmmoSet_303British,.303英式步枪弹,7.7×56mmR,工业/步枪,FMJ,OA_RK_ProtocolRifle,古典步枪(金鼠族),步枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_WeaponsGuns_Patch.xml,CE 原版弹药配方,金鼠族古典步枪
复用CE弹药,AmmoSet_303British,.303英式步枪弹,7.7×56mmR,工业/步枪,FMJ,OA_RK_ProtocolRifle_B,古典步枪B型(金鼠族),步枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_NEWWeapons_Patch.xml,CE 原版弹药配方,金鼠族新武器
复用CE弹药,AmmoSet_556x45mmNATO,5.56×45mm NATO,5.56×45mm,工业/突击步枪,FMJ,OA_RK_BlitzRifle,闪电步枪(金鼠族),突击步枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_WeaponsGuns_Patch.xml,CE 原版弹药配方,金鼠族闪电系列
复用CE弹药,AmmoSet_556x45mmNATO,5.56×45mm NATO,5.56×45mm,工业/突击步枪,FMJ,OA_RK_AdvancedBlitzRifle,先进闪电步枪(金鼠族),突击步枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_WeaponsGuns_Patch.xml,CE 原版弹药配方,金鼠族闪电系列
复用CE弹药,AmmoSet_762x39mmSoviet,7.62×39mm苏联弹,7.62×39mm,工业/突击步枪,FMJ,OA_RK_PrototypeBlitzRifle,原型闪电步枪(金鼠族),突击步枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_WeaponsGuns_Patch.xml,CE 原版弹药配方,金鼠族闪电系列
复用CE弹药,AmmoSet_762x51mmNATO,7.62×51mm NATO,7.62×51mm,工业/步枪,FMJ,OA_RK_BlitzSSR,重型突击步枪(金鼠族),突击步枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_WeaponsGuns_Patch.xml,CE 原版弹药配方,金鼠族闪电系列
复用CE弹药,AmmoSet_762x51mmNATO,7.62×51mm NATO,7.62×51mm,工业/步枪,FMJ,OA_RK_BlitzLMG,轻机枪(金鼠族),轻机枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_WeaponsGuns_Patch.xml,CE 原版弹药配方,金鼠族闪电系列
复用CE弹药,AmmoSet_762x51mmNATO,7.62×51mm NATO,7.62×51mm,工业/步枪,FMJ,OA_RK_BlitzSSR_B,突击重武器支援步枪(金鼠族),突击步枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_NEWWeapons_Patch.xml,CE 原版弹药配方,金鼠族新武器
复用CE弹药,AmmoSet_9x19mmPara,9×19mm帕拉贝鲁姆,9×19mm,工业/手枪,FMJ,OA_RK_BlitzSMG,闪电冲锋枪(金鼠族),冲锋枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_WeaponsGuns_Patch.xml,CE 原版弹药配方,金鼠族闪电系列
复用CE弹药,AmmoSet_9x19mmPara,9×19mm帕拉贝鲁姆,9×19mm,工业/手枪,FMJ,OA_RK_AdvancedBlitzSMG,先进闪电冲锋枪(金鼠族),冲锋枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_WeaponsGuns_Patch.xml,CE 原版弹药配方,金鼠族闪电系列
复用CE弹药,AmmoSet_9x19mmPara,9×19mm帕拉贝鲁姆,9×19mm,工业/手枪,FMJ,OA_RK_Jishu_SMG,技术冲锋枪(金鼠族),冲锋枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_NEWWeapons_Patch.xml,CE 原版弹药配方,金鼠族新武器
复用CE弹药,AmmoSet_9x19mmPara,9×19mm帕拉贝鲁姆,9×19mm,工业/手枪,FMJ,OA_RK_BlitzSMG_B,闪电冲锋枪B型(金鼠族),冲锋枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_NEWWeapons_Patch.xml,CE 原版弹药配方,金鼠族新武器
复用CE弹药,AmmoSet_45ACP,.45 ACP,11.43×23mm,工业/手枪,FMJ,OA_RK_BlitzSMG_Heavy,重型冲锋枪(金鼠族),重型冲锋枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_NEWWeapons_Patch.xml,CE 原版弹药配方,金鼠族新武器
复用CE弹药,AmmoSet_50BMG,12.7×99mm(.50 BMG),12.7×99mm,工业/反器材,FMJ,OA_RK_BlitzAMLMG,重机枪(金鼠族),重机枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_WeaponsGuns_Patch.xml,CE 原版弹药配方,金鼠族闪电系列
复用CE弹药,AmmoSet_50BMG,12.7×99mm(.50 BMG),12.7×99mm,工业/反器材,FMJ,OA_RK_BlitzAMR,反器材步枪(金鼠族),反器材步枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_WeaponsGuns_Patch.xml,CE 原版弹药配方,金鼠族闪电系列
复用CE弹药,AmmoSet_50BMG,12.7×99mm(.50 BMG),12.7×99mm,工业/反器材,FMJ,OA_RK_BlitzAMR_B,反器材步枪B型(金鼠族),反器材步枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_NEWWeapons_Patch.xml,CE 原版弹药配方,金鼠族新武器
复用CE弹药,AmmoSet_50BMG,12.7×99mm(.50 BMG),12.7×99mm,工业/反器材,FMJ,OA_RK_BlitzAMR_C,重型反器材(金鼠族),重型反器材步枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_NEWWeapons_Patch.xml,CE 原版弹药配方,金鼠族新武器
复用CE弹药,AmmoSet_145x114mm,14.5×114mm,14.5×114mm,工业/反器材,FMJ,OA_RK_BlitzAMR_C,重型反器材(金鼠族),重型反器材步枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_NEWWeapons_Patch.xml,CE 原版弹药配方,金鼠族新武器
复用CE弹药,AmmoSet_12Gauge,12号霰弹,12 Gauge,工业/霰弹枪,Buck(鹿弹),OA_RK_Shotgun_A,霰弹枪A(金鼠族),霰弹枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_NEWWeapons_Patch.xml,CE 原版弹药配方,金鼠族新武器
复用CE弹药,AmmoSet_12Gauge,12号霰弹,12 Gauge,工业/霰弹枪,Buck(鹿弹),OA_RK_Shotgun_B,霰弹枪B(金鼠族),霰弹枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_NEWWeapons_Patch.xml,CE 原版弹药配方,金鼠族新武器
复用CE弹药,AmmoSet_12Gauge,12号霰弹,12 Gauge,工业/霰弹枪,Buck(鹿弹),OA_RK_Shotgun_C,霰弹枪C(金鼠族),霰弹枪,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_NEWWeapons_Patch.xml,CE 原版弹药配方,金鼠族新武器
复用CE弹药,AmmoSet_RPG7Grenade,RPG-7榴弹,40mm火箭弹,工业/反坦克,HEAT(破甲),OA_RK_AT,反坦克火箭筒(金鼠族),反坦克武器,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_NEWWeapons_Patch.xml,CE 原版弹药配方,金鼠族新武器
复用CE弹药,AmmoSet_LightbulletA,鼠族光储能弹,光储能弹(6x24mmCharged 相似),Spacer/太空,穿甲(ArmorPiercing),OA_RK_ChargeSSR,电荷狙击枪(金鼠族),电荷狙击,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_WeaponsGuns_Patch.xml,本mod配方 MakeAmmoSet_LightbulletA,金鼠族复用HSK光储能弹
复用CE弹药,AmmoSet_LightbulletA,鼠族光储能弹,光储能弹(6x24mmCharged 相似),Spacer/太空,穿甲(ArmorPiercing),OA_RK_UnstableChargeThrower,不稳定充能投掷者(金鼠族),电荷武器,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_WeaponsGuns_Patch.xml,本mod配方 MakeAmmoSet_LightbulletA,金鼠族复用HSK光储能弹
复用CE弹药,AmmoSet_LightbulletA,鼠族光储能弹,光储能弹(6x24mmCharged 相似),Spacer/太空,穿甲(ArmorPiercing),OA_RK_ChargeSSR,电荷狙击枪(金鼠族),电荷狙击,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_NEWWeapons_Patch.xml,本mod配方 MakeAmmoSet_LightbulletA,金鼠族新武器(CE_NEWWeapons 亦挂同弹)
复用CE弹药,AmmoSet_LightbulletA,鼠族光储能弹,光储能弹(6x24mmCharged 相似),Spacer/太空,穿甲(ArmorPiercing),OA_RK_UnstableChargeThrower,不稳定充能投掷者(金鼠族),电荷武器,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_NEWWeapons_Patch.xml,本mod配方 MakeAmmoSet_LightbulletA,金鼠族新武器(CE_NEWWeapons 亦挂同弹)
复用CE弹药,AmmoSet_LightbulletB,光储能压缩机炮弹,光储能机炮弹(6x24mmCharged 相似),Spacer/太空,穿甲(ArmorPiercing),OA_RK_UnstableChargeDriver,不稳定充能驱动器(金鼠族),电荷机炮,金鼠族 HSK版本,Mods/CombatExtended/1.6/Patches/CE_WeaponsGuns_Patch.xml,本mod配方 MakeAmmoSet_LightbulletB,金鼠族复用HSK光储能压缩机炮弹
自创弹种(复用CE贴图),AmmoSet_792x57mmMauser,7.92×57mm毛瑟步枪弹,7.92×57mm,工业/步枪,FMJ,RK_NR_Mume,"杏梅"栓动步枪,二战步枪(栓动),鼠族HSK拓展,Patches/81_GW2名枪CE适配.xml,本mod自创配方 Defs/AmmoDefs/Ammo_792x57mmMauser.xml,二战德系标准弹
自创弹种(复用CE贴图),AmmoSet_792x57mmMauser,7.92×57mm毛瑟步枪弹,7.92×57mm,工业/步枪,FMJ,RK_LS_Zakkum,"夹竹桃"栓动步枪,二战步枪(栓动),鼠族HSK拓展,Patches/81_GW2名枪CE适配.xml,本mod自创配方 Defs/AmmoDefs/Ammo_792x57mmMauser.xml,原7.65×57设定归位
自创弹种(复用CE贴图),AmmoSet_792x57mmMauser,7.92×57mm毛瑟步枪弹,7.92×57mm,工业/步枪,FMJ,RK_SD_Klyon,"灰叶枫"自动步枪,二战自动步枪,鼠族HSK拓展,Patches/81_GW2名枪CE适配.xml,本mod自创配方 Defs/AmmoDefs/Ammo_792x57mmMauser.xml,原7.62×50设定归位
自创弹种(复用CE贴图),AmmoSet_792x57mmMauser,7.92×57mm毛瑟步枪弹,7.92×57mm,工业/步枪,FMJ,RK_KB_Buche,"山毛榉"狙击步枪,二战狙击步枪,鼠族HSK拓展,Patches/98_GW新增装备CE适配.xml,本mod自创配方 Defs/AmmoDefs/Ammo_792x57mmMauser.xml,云杉栓动狙击型
自创弹种(复用CE贴图),AmmoSet_792x57mmMauser,7.92×57mm毛瑟步枪弹,7.92×57mm,工业/步枪,FMJ,RK_KB_Maipflanze,"五月草"轻机枪,二战轻机枪,鼠族HSK拓展,Patches/98_GW新增装备CE适配.xml,本mod自创配方 Defs/AmmoDefs/Ammo_792x57mmMauser.xml,弹链供弹
复用CE弹药,AmmoSet_9x19mmPara,9×19mm帕拉贝鲁姆,9×19mm,工业/手枪,FMJ,RK_VK_Gloriosa,"火百合"冲锋枪,二战冲锋枪,鼠族HSK拓展,Patches/81_GW2名枪CE适配.xml,CE 原版弹药配方,二战手枪/冲锋枪弹
复用CE弹药,AmmoSet_303British,.303英式步枪弹,7.7×56mmR,工业/步枪,FMJ,RK_WR_WhiteRose,"白蔷薇"卡宾枪,二战步枪(卡宾),鼠族HSK拓展,Patches/98_GW新增装备CE适配.xml,CE 原版弹药配方,二战英系区
复用CE弹药,AmmoSet_9x19mmPara,9×19mm帕拉贝鲁姆,9×19mm,工业/手枪,FMJ,RK_WR_TalinumRevolver,"土人参"左轮手枪,二战手枪(转轮),鼠族HSK拓展,Patches/98_GW新增装备CE适配.xml,CE 原版弹药配方,原.455设定,9×19近似归位
